truck_id,time_min,hour_of_shift,shovel_queue_len,wait_shovel_min,load_time_min,haul_time_min,dump_queue_len,wait_dump_min,dump_time_min,return_time_min,total_cycle_time_min
Truck_3,0.0,0,0,0.0,3.941587527785062,15.836645625105314,0,0.0,3.4629125162898298,9.227693045400414,32.46883871458062
Truck_2,0.0,0,0,0.0,3.2416062896013176,16.82381398758859,0,0.0,3.5576227926396413,8.934259067801761,32.55730213763131
Truck_0,0.0,0,0,0.0,5.426197179735381,18.730971783446936,0,1.4686957908716707,2.358987689985348,8.925190014129587,36.910042458168924
Truck_5,0.0,0,1,3.941587527785062,5.6099891502602866,13.933527387197573,0,0.13793900458662733,2.0028216842244397,11.940358054075848,37.56622280812984
Truck_1,0.0,0,0,0.0,5.503152739772379,15.039348606778919,0,2.6986443226289083,3.403139819248562,13.051117147291333,39.6954026357201
Truck_9,0.0,0,5,9.551576678045349,5.194801616734553,12.068535294819256,0,0.0,3.2135100168265183,13.777201057200678,43.805624663626354
Truck_8,0.0,0,4,8.727932029390894,5.288943008447161,15.489230145282889,1,1.6328147098765946,3.097280112504432,10.054883771023768,44.29108377652574
Truck_4,0.0,0,0,3.2416062896013176,5.486325739789576,18.85705852099027,0,0.3998618936581728,3.1540674489582017,13.879055881234127,45.017975774231665
Truck_6,0.0,0,2,5.426197179735381,6.06225518679753,16.525155502473027,0,2.014815737419738,3.35449254211332,13.939895680389483,47.32281182892848
Truck_7,0.0,0,3,5.503152739772379,5.759201203591554,18.63302511853109,2,3.4875370866439717,3.6581582039345335,10.873829139262789,47.91490349173632
Truck_5,37.56622280812984,0,0,0.0,4.2592683845864485,12.461944944374835,0,0.0,3.726315741600807,8.396671136809651,28.844200207371742
Truck_3,32.46883871458062,0,0,0.0,3.7816341819356154,15.168025995365511,0,0.0,2.8606595800894183,14.272135005995572,36.08245476338612
Truck_0,36.910042458168924,0,0,0.0,5.501479228696304,10.753660305977363,0,0.0,2.2342593858438704,14.315397854592376,32.804796775109914
Truck_2,32.55730213763131,0,0,0.0,5.241801258257773,19.40799203055272,0,0.0,1.9957599266564543,10.668223636455437,37.313776851922384
