replication_id,mean_cycle_time_min,ci_margin,mean_shovel_queue,mean_dump_queue,total_cycles_completed
1,35.87051572690661,1.0229257637064102,0.07692307692307693,0.041025641025641026,195
2,35.570118518844154,1.027611165542281,0.08163265306122448,0.11734693877551021,196
3,35.088865515235824,0.8193175423907246,0.08,0.08,200
4,34.10400790706785,0.5408143376486206,0.07246376811594203,0.05314009661835749,207
5,34.975537083158926,0.5720620784861742,0.085,0.065,200
6,35.32639512692216,0.7268431611364391,0.09090909090909091,0.13636363636363635,198
7,34.90435194616865,0.5664928586821386,0.07920792079207921,0.06435643564356436,202
8,35.04241017647602,0.8513398637052484,0.10891089108910891,0.09900990099009901,202
9,35.24653042614257,0.9593407480101445,0.07537688442211055,0.04522613065326633,199
10,35.17594391258075,1.0583785623843063,0.075,0.03,200
11,34.93883933746889,0.545916563767021,0.075,0.01,200
12,34.87424499282506,0.8245370455381922,0.0891089108910891,0.06435643564356436,202
13,35.34202033056738,1.1219332895124938,0.07537688442211055,0.09547738693467336,199
14,36.22345438791366,1.2795620619112218,0.07731958762886598,0.06701030927835051,194
15,34.95828150938993,0.5331943150251033,0.07425742574257425,0.10396039603960396,202
16,34.946139402956014,0.9580301487989125,0.07425742574257425,0.0594059405940594,202
17,34.57805847278401,0.5645006053779061,0.07352941176470588,0.09803921568627451,204
18,35.46178545453871,1.0941500376602353,0.08542713567839195,0.04522613065326633,199
19,34.4675579735135,0.5233947736175724,0.07352941176470588,0.05392156862745098,204
20,35.81564005113976,1.0485371456912362,0.10204081632653061,0.030612244897959183,196
21,34.525440423920315,0.6338914529140744,0.07389162561576355,0.04433497536945813,203
22,34.48608469076527,0.7615022877322853,0.07352941176470588,0.029411764705882353,204
23,34.87522854018362,0.8322208182051978,0.07462686567164178,0.07462686567164178,201
24,35.43880207363343,0.7772420546576623,0.08,0.19,200
25,34.6326863615025,0.7374861160828452,0.07425742574257425,0.0297029702970297,202
26,34.74578384865005,0.7750428204776245,0.07425742574257425,0.054455445544554455,202
27,34.98115326006693,1.1843545906626742,0.0891089108910891,0.01485148514851485,202
28,35.28695018686347,1.1694815823870337,0.075,0.025,200
29,34.07601042806799,0.542798265542231,0.07766990291262135,0.02912621359223301,206
30,34.75598699808139,0.7898702524803083,0.07425742574257425,0.054455445544554455,202
